Source Name,Observation ID,MJD,RA (deg),DEC (deg),RA (hour),DEC (hour),U Magnitude,B Magnitude,V Magnitude,W1 Magnitude,W2 Magnitude,M2 Magnitude,U Flux,B Flux,V Flux,W1 Flux,W2 Flux,M2 Flux
GB6 J0849+5108,00091354003,56291.85,132.49162,51.14139,8 49 57.9888,51 08 29.004,19.89 ± 0.42,19.97 ± 0.34,18.65 ± 0.26,19.72 ± 0.12,20.04 ± 0.22,19.97 ± 0.31,(1.52 ± 0.58) × 10⁻¹³,(0.32 ± 0.1) × 10⁻¹²,(0.76 ± 0.18) × 10⁻¹²,(1.56 ± 0.17) × 10⁻¹³,(1.2 ± 0.25) × 10⁻¹³,(1.33 ± 0.39) × 10⁻¹³
GB6 J0849+5108,00091354004,56322.2,132.49162,51.14139,8 49 57.9888,51 08 29.004,20.95 ± 1.06,19.73 ± 0.28,18.98 ± 0.35,19.97 ± 0.36,19.83 ± 0.2,19.75 ± 0.27,(0.57 ± 0.56) × 10⁻¹³,(0.4 ± 0.1) × 10⁻¹²,(0.56 ± 0.18) × 10⁻¹²,(1.25 ± 0.41) × 10⁻¹³,(1.46 ± 0.27) × 10⁻¹³,(1.64 ± 0.41) × 10⁻¹³
GB6 J0849+5108,00032084005,56404.62,132.49162,51.14139,8 49 57.9888,51 08 29.004,16.52 ± 0.05,16.8 ± 0.04,16.4 ± 0.05,16.94 ± 0.06,17.18 ± 0.05,16.58 ± 0.05,(0.34 ± 0.02) × 10⁻¹¹,(0.6 ± 0.02) × 10⁻¹¹,(0.61 ± 0.03) × 10⁻¹¹,(2.03 ± 0.11) × 10⁻¹²,(1.69 ± 0.08) × 10⁻¹²,(3.02 ± 0.14) × 10⁻¹²
GB6 J0849+5108,00032084006,56409.15,132.49162,51.14139,8 49 57.9888,51 08 29.004,17.81 ± 0.17,18.87 ± 0.26,17.92 ± 0.22,18.42 ± 0.21,18.84 ± 0.16,18.62 ± 0.19,(1.04 ± 0.16) × 10⁻¹²,(0.88 ± 0.21) × 10⁻¹²,(1.49 ± 0.31) × 10⁻¹²,(0.52 ± 0.1) × 10⁻¹²,(0.37 ± 0.05) × 10⁻¹²,(0.46 ± 0.08) × 10⁻¹²
GB6 J0849+5108,00032084007,58485.27,132.49162,51.14139,8 49 57.9888,51 08 29.004,19.16 ± 0.41,19.99 ± 0.59,18.39 ± 0.39,20.93 ± 1.35,19.33 ± 0.28,19.6 ± 0.44,(2.98 ± 1.14) × 10⁻¹³,(3.16 ± 1.72) × 10⁻¹³,(0.97 ± 0.35) × 10⁻¹²,(0.51 ± 0.64) × 10⁻¹³,(2.32 ± 0.6) × 10⁻¹³,(1.87 ± 0.75) × 10⁻¹³
GB6 J0849+5108,00032084008,58492.19,132.49162,51.14139,8 49 57.9888,51 08 29.004,19.62 ± 0.34,20.86 ± 0.75,19.07 ± 0.38,19.6 ± 0.31,19.75 ± 0.21,20.87 ± 0.63,(1.95 ± 0.61) × 10⁻¹³,(1.42 ± 0.99) × 10⁻¹³,(0.52 ± 0.18) × 10⁻¹²,(1.75 ± 0.49) × 10⁻¹³,(1.58 ± 0.31) × 10⁻¹³,(0.58 ± 0.34) × 10⁻¹³
GB6 J0849+5108,00032084009,58499.37,132.49162,51.14139,8 49 57.9888,51 08 29.004,19.08 ± 0.23,19.52 ± 0.24,18.71 ± 0.28,19.67 ± 0.3,19.57 ± 0.19,19.78 ± 0.33,(0.32 ± 0.07) × 10⁻¹²,(0.49 ± 0.11) × 10⁻¹²,(0.72 ± 0.19) × 10⁻¹²,(1.63 ± 0.45) × 10⁻¹³,(1.87 ± 0.33) × 10⁻¹³,(1.59 ± 0.49) × 10⁻¹³
GB6 J0849+5108,00032084010,58506.08,132.49162,51.14139,8 49 57.9888,51 08 29.004,19.13 ± 0.24,19.14 ± 0.18,19.17 ± 0.42,19.91 ± 0.38,19.31 ± 0.16,19.15 ± 0.21,(3.07 ± 0.68) × 10⁻¹³,(0.69 ± 0.12) × 10⁻¹²,(0.47 ± 0.18) × 10⁻¹²,(1.31 ± 0.46) × 10⁻¹³,(2.37 ± 0.35) × 10⁻¹³,(2.82 ± 0.54) × 10⁻¹³
GB6 J0849+5108,00032084011,58513.67,132.49162,51.14139,8 49 57.9888,51 08 29.004,19.29 ± 0.28,19.32 ± 0.24,18.48 ± 0.4,19.64 ± 0.31,20.35 ± 0.55,20.18 ± 0.62,(2.65 ± 0.68) × 10⁻¹³,(0.59 ± 0.13) × 10⁻¹²,(0.89 ± 0.32) × 10⁻¹²,(1.69 ± 0.48) × 10⁻¹³,(0.9 ± 0.46) × 10⁻¹³,(1.1 ± 0.63) × 10⁻¹³
GB6 J0849+5108,00032084012,58518.42,132.49162,51.14139,8 49 57.9888,51 08 29.004,19.47 ± 0.58,19.09 ± 0.33,18.31 ± 0.4,19.7 ± 0.64,19.54 ± 0.36,18.82 ± 0.32,(2.24 ± 1.2) × 10⁻¹³,(0.72 ± 0.22) × 10⁻¹²,(1.04 ± 0.38) × 10⁻¹²,(1.59 ± 0.94) × 10⁻¹³,(1.91 ± 0.63) × 10⁻¹³,(0.38 ± 0.11) × 10⁻¹²
