Source Name,Observation ID,MJD,RA (deg),DEC (deg),RA (hour),DEC (hour),U Magnitude,B Magnitude,V Magnitude,W1 Magnitude,W2 Magnitude,M2 Magnitude,U Flux,B Flux,V Flux,W1 Flux,W2 Flux,M2 Flux
PG 1553+113,00031368168,57611.45,238.92935,11.1901,15 55 43.044,11 11 24.36,14.07 ± 0.03,14.94 ± 0.03,14.63 ± 0.04,14.06 ± 0.03,14.08 ± 0.03,14.02 ± 0.03,(0.36 ± 0.01) × 10⁻¹⁰,(0.37 ± 0.01) × 10⁻¹⁰,(0.33 ± 0.01) × 10⁻¹⁰,(0.34 ± 0.01) × 10⁻¹⁰,(0.35 ± 0.01) × 10⁻¹⁰,(0.4 ± 0.01) × 10⁻¹⁰
PG 1553+113,00031368169,57620.87,238.92935,11.1901,15 55 43.044,11 11 24.36,13.9 ± 0.03,14.77 ± 0.03,14.41 ± 0.04,13.75 ± 0.03,13.86 ± 0.03,13.79 ± 0.04,(0.42 ± 0.01) × 10⁻¹⁰,(0.43 ± 0.01) × 10⁻¹⁰,(0.41 ± 0.02) × 10⁻¹⁰,(0.45 ± 0.01) × 10⁻¹⁰,(0.44 ± 0.01) × 10⁻¹⁰,(0.49 ± 0.02) × 10⁻¹⁰
PG 1553+113,00031368170,57629.51,238.92935,11.1901,15 55 43.044,11 11 24.36,13.53 ± 0.04,14.52 ± 0.03,14.24 ± 0.05,13.45 ± 0.03,13.54 ± 0.03,13.42 ± 0.03,(0.6 ± 0.02) × 10⁻¹⁰,(0.54 ± 0.02) × 10⁻¹⁰,(0.48 ± 0.02) × 10⁻¹⁰,(0.59 ± 0.02) × 10⁻¹⁰,(0.59 ± 0.02) × 10⁻¹⁰,(0.69 ± 0.02) × 10⁻¹⁰
PG 1553+113,00031368171,57638.02,238.92935,11.1901,15 55 43.044,11 11 24.36,13.64 ± 0.03,14.59 ± 0.03,-,13.49 ± 0.03,13.57 ± 0.03,-,(0.54 ± 0.01) × 10⁻¹⁰,(0.5 ± 0.01) × 10⁻¹⁰,-,(0.57 ± 0.01) × 10⁻¹⁰,(0.57 ± 0.02) × 10⁻¹⁰,-
PG 1553+113,00031368173,57649.18,238.92935,11.1901,15 55 43.044,11 11 24.36,13.65 ± 0.03,14.55 ± 0.03,14.27 ± 0.06,13.59 ± 0.03,13.65 ± 0.03,-,(0.53 ± 0.01) × 10⁻¹⁰,(0.52 ± 0.01) × 10⁻¹⁰,(0.46 ± 0.03) × 10⁻¹⁰,(0.52 ± 0.01) × 10⁻¹⁰,(0.53 ± 0.01) × 10⁻¹⁰,-
PG 1553+113,00031368174,57656.02,238.92935,11.1901,15 55 43.044,11 11 24.36,13.5 ± 0.03,14.43 ± 0.03,14.1 ± 0.03,13.41 ± 0.03,13.55 ± 0.02,13.46 ± 0.04,(0.61 ± 0.02) × 10⁻¹⁰,(0.58 ± 0.01) × 10⁻¹⁰,(0.54 ± 0.02) × 10⁻¹⁰,(0.61 ± 0.02) × 10⁻¹⁰,(0.58 ± 0.01) × 10⁻¹⁰,(0.67 ± 0.03) × 10⁻¹⁰
PG 1553+113,00031368175,57665.2,238.92935,11.1901,15 55 43.044,11 11 24.36,13.72 ± 0.03,14.6 ± 0.03,14.21 ± 0.04,13.69 ± 0.03,13.84 ± 0.03,13.74 ± 0.03,(0.5 ± 0.01) × 10⁻¹⁰,(0.5 ± 0.01) × 10⁻¹⁰,(0.49 ± 0.02) × 10⁻¹⁰,(0.48 ± 0.01) × 10⁻¹⁰,(0.44 ± 0.01) × 10⁻¹⁰,(0.52 ± 0.01) × 10⁻¹⁰
PG 1553+113,00031368176,57745.06,238.92935,11.1901,15 55 43.044,11 11 24.36,13.62 ± 0.03,14.59 ± 0.03,14.28 ± 0.05,13.63 ± 0.03,13.69 ± 0.03,-,(0.55 ± 0.02) × 10⁻¹⁰,(0.5 ± 0.01) × 10⁻¹⁰,(0.46 ± 0.02) × 10⁻¹⁰,(0.5 ± 0.01) × 10⁻¹⁰,(0.51 ± 0.01) × 10⁻¹⁰,-
PG 1553+113,00031368177,57748.12,238.92935,11.1901,15 55 43.044,11 11 24.36,-,-,-,18.61 ± 0.82,-,-,-,-,-,(0.51 ± 0.39) × 10⁻¹²,-,-
PG 1553+113,00031368178,57751.05,238.92935,11.1901,15 55 43.044,11 11 24.36,13.58 ± 0.03,14.48 ± 0.03,14.17 ± 0.03,13.5 ± 0.03,13.62 ± 0.02,13.5 ± 0.03,(0.57 ± 0.02) × 10⁻¹⁰,(0.56 ± 0.01) × 10⁻¹⁰,(0.51 ± 0.02) × 10⁻¹⁰,(0.56 ± 0.01) × 10⁻¹⁰,(0.54 ± 0.01) × 10⁻¹⁰,(0.65 ± 0.02) × 10⁻¹⁰
PG 1553+113,00031368179,57754.44,238.92935,11.1901,15 55 43.044,11 11 24.36,13.5 ± 0.03,14.48 ± 0.03,14.11 ± 0.04,13.54 ± 0.03,13.72 ± 0.03,13.55 ± 0.03,(0.62 ± 0.02) × 10⁻¹⁰,(0.56 ± 0.01) × 10⁻¹⁰,(0.54 ± 0.02) × 10⁻¹⁰,(0.55 ± 0.01) × 10⁻¹⁰,(0.5 ± 0.01) × 10⁻¹⁰,(0.61 ± 0.02) × 10⁻¹⁰
PG 1553+113,00031368180,57757.49,238.92935,11.1901,15 55 43.044,11 11 24.36,13.43 ± 0.03,14.4 ± 0.03,14.04 ± 0.03,13.34 ± 0.03,13.44 ± 0.02,13.33 ± 0.03,(0.65 ± 0.02) × 10⁻¹⁰,(0.6 ± 0.02) × 10⁻¹⁰,(0.57 ± 0.02) × 10⁻¹⁰,(0.65 ± 0.02) × 10⁻¹⁰,(0.64 ± 0.01) × 10⁻¹⁰,(0.75 ± 0.02) × 10⁻¹⁰
PG 1553+113,00031368181,57760.54,238.92935,11.1901,15 55 43.044,11 11 24.36,13.5 ± 0.03,14.32 ± 0.03,13.96 ± 0.03,13.76 ± 0.03,13.49 ± 0.02,13.37 ± 0.03,(0.62 ± 0.02) × 10⁻¹⁰,(0.64 ± 0.02) × 10⁻¹⁰,(0.61 ± 0.02) × 10⁻¹⁰,(0.44 ± 0.01) × 10⁻¹⁰,(0.61 ± 0.01) × 10⁻¹⁰,(0.73 ± 0.02) × 10⁻¹⁰
PG 1553+113,00031368182,57763.6,238.92935,11.1901,15 55 43.044,11 11 24.36,13.35 ± 0.03,14.26 ± 0.03,13.89 ± 0.03,13.27 ± 0.03,13.37 ± 0.02,13.3 ± 0.03,(0.7 ± 0.02) × 10⁻¹⁰,(0.68 ± 0.02) × 10⁻¹⁰,(0.66 ± 0.02) × 10⁻¹⁰,(0.7 ± 0.02) × 10⁻¹⁰,(0.68 ± 0.02) × 10⁻¹⁰,(0.78 ± 0.02) × 10⁻¹⁰
PG 1553+113,00031368183,57766.39,238.92935,11.1901,15 55 43.044,11 11 24.36,13.38 ± 0.03,14.27 ± 0.03,13.89 ± 0.03,13.35 ± 0.03,13.45 ± 0.02,13.34 ± 0.03,(0.69 ± 0.02) × 10⁻¹⁰,(0.68 ± 0.02) × 10⁻¹⁰,(0.66 ± 0.02) × 10⁻¹⁰,(0.65 ± 0.02) × 10⁻¹⁰,(0.64 ± 0.01) × 10⁻¹⁰,(0.74 ± 0.02) × 10⁻¹⁰
